Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Area code,Area code_reference,Area code_sort,Area code_hierarchy,Area name,Area name_reference,Area name_sort,Area name_hierarchy,Indicator,Indicator_reference,Indicator_sort,Indicator_hierarchy,Notes
66.6,66.6,Average,Average,,,W01000110,W01000110,96,,Hendre (Caernarfon),W01000110,96,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
59.6,59.6,Average,Average,,,W01000111,W01000111,97,,Seiont,W01000111,97,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
52.3,52.3,Average,Average,,,W01000112,W01000112,98,,"Talysarn, Carmel",W01000112,98,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
56.3,56.3,Average,Average,,,W01000113,W01000113,99,,Teigl,W01000113,99,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
44.7,44.7,Average,Average,,,W01000114,W01000114,100,,Trawsfynydd,W01000114,100,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
49.9,49.9,Average,Average,,,W01000115,W01000115,101,,Tre-garth a Mynydd Llandygai,W01000115,101,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61.6,61.6,Average,Average,,,W01000116,W01000116,102,,De Tywyn,W01000116,102,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
62.5,62.5,Average,Average,,,W01000117,W01000117,103,,Gogledd Tywyn,W01000117,103,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
46.1,46.1,Average,Average,,,W01000118,W01000118,104,,"Waunfawr, Caeathro",W01000118,104,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
62.9,62.9,Average,Average,,,W01000119,W01000119,105,,Y Felinheli,W01000119,105,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
50,50,Average,Average,,,W01000121,W01000121,106,,Betws-y-Coed,W01000121,106,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
49.7,49.7,Average,Average,,,W01000122,W01000122,107,,Betws-yn-Rhos,W01000122,107,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
60.1,60.1,Average,Average,,,W01000123,W01000123,108,,Bryn,W01000123,108,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
47.6,47.6,Average,Average,,,W01000124,W01000124,109,,Caerhun,W01000124,109,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
60,60,Average,Average,,,W01000125,W01000125,110,,Capelulo,W01000125,110,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
59.6,59.6,Average,Average,,,W01000126,W01000126,111,,Colwyn 1,W01000126,111,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
64.4,64.4,Average,Average,,,W01000127,W01000127,112,,Colwyn 2,W01000127,112,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
58.1,58.1,Average,Average,,,W01000128,W01000128,113,,Colwyn 3,W01000128,113,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
65.6,65.6,Average,Average,,,W01000129,W01000129,114,,Conwy 1,W01000129,114,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
57.8,57.8,Average,Average,,,W01000130,W01000130,115,,Conwy 2,W01000130,115,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
66.1,66.1,Average,Average,,,W01000131,W01000131,116,,Conwy 3,W01000131,116,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61.1,61.1,Average,Average,,,W01000132,W01000132,117,,Craig-y-don 1,W01000132,117,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
60.2,60.2,Average,Average,,,W01000133,W01000133,118,,Craig-y-don 2,W01000133,118,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
63.4,63.4,Average,Average,,,W01000134,W01000134,119,,Crwst,W01000134,119,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61.3,61.3,Average,Average,,,W01000135,W01000135,120,,Deganwy 1,W01000135,120,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
64.6,64.6,Average,Average,,,W01000136,W01000136,121,,Deganwy 2,W01000136,121,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
45,45,Average,Average,,,W01000137,W01000137,122,,Eglwys-bach,W01000137,122,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
65.9,65.9,Average,Average,,,W01000138,W01000138,123,,Eirias 1,W01000138,123,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
57.6,57.6,Average,Average,,,W01000139,W01000139,124,,Eirias 2,W01000139,124,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
62.9,62.9,Average,Average,,,W01000140,W01000140,125,,Gele 1,W01000140,125,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
64.3,64.3,Average,Average,,,W01000141,W01000141,126,,Gele 2,W01000141,126,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
65,65,Average,Average,,,W01000142,W01000142,127,,Gele 3,W01000142,127,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
58.7,58.7,Average,Average,,,W01000143,W01000143,128,,Glyn (Conwy) 1,W01000143,128,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
64,64,Average,Average,,,W01000144,W01000144,129,,Glyn (Conwy) 2,W01000144,129,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
62.5,62.5,Average,Average,,,W01000145,W01000145,130,,Glyn (Conwy) 3,W01000145,130,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
60.8,60.8,Average,Average,,,W01000146,W01000146,131,,Gogarth 1,W01000146,131,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
63.9,63.9,Average,Average,,,W01000147,W01000147,132,,Gogarth 2,W01000147,132,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
62.8,62.8,Average,Average,,,W01000148,W01000148,133,,Gower (Conwy),W01000148,133,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61,61,Average,Average,,,W01000149,W01000149,134,,Kinmel Bay 1,W01000149,134,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
64.3,64.3,Average,Average,,,W01000150,W01000150,135,,Kinmel Bay 2,W01000150,135,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
66.7,66.7,Average,Average,,,W01000151,W01000151,136,,Kinmel Bay 3,W01000151,136,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
64.5,64.5,Average,Average,,,W01000152,W01000152,137,,Kinmel Bay 4,W01000152,137,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
59.3,59.3,Average,Average,,,W01000153,W01000153,138,,Llanddulas,W01000153,138,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
60.6,60.6,Average,Average,,,W01000154,W01000154,139,,Llandrillo-yn-Rhos 1,W01000154,139,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
59.9,59.9,Average,Average,,,W01000155,W01000155,140,,Llandrillo-yn-Rhos 2,W01000155,140,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
66.2,66.2,Average,Average,,,W01000156,W01000156,141,,Llandrillo-yn-Rhos 3,W01000156,141,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
65.1,65.1,Average,Average,,,W01000157,W01000157,142,,Llandrillo-yn-Rhos 4,W01000157,142,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61,61,Average,Average,,,W01000158,W01000158,143,,Llandrillo-yn-Rhos 5,W01000158,143,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
47.7,47.7,Average,Average,,,W01000159,W01000159,144,,Llangernyw,W01000159,144,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
46.9,46.9,Average,Average,,,W01000162,W01000162,145,,Llansannan,W01000162,145,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
60.9,60.9,Average,Average,,,W01000163,W01000163,146,,Llysfaen 1,W01000163,146,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
52.1,52.1,Average,Average,,,W01000164,W01000164,147,,Llysfaen 2,W01000164,147,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61.1,61.1,Average,Average,,,W01000165,W01000165,148,,Marl 1,W01000165,148,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
69.3,69.3,Average,Average,,,W01000166,W01000166,149,,Marl 2,W01000166,149,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61.7,61.7,Average,Average,,,W01000167,W01000167,150,,Mochdre,W01000167,150,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
63.4,63.4,Average,Average,,,W01000168,W01000168,151,,Mostyn (Conwy) 1,W01000168,151,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61.1,61.1,Average,Average,,,W01000169,W01000169,152,,Mostyn (Conwy) 2,W01000169,152,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
58.7,58.7,Average,Average,,,W01000170,W01000170,153,,Pandy,W01000170,153,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61.6,61.6,Average,Average,,,W01000171,W01000171,154,,Pant-yr-afon and Penmaenan 1,W01000171,154,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
60.3,60.3,Average,Average,,,W01000172,W01000172,155,,Pant-yr-afon and Penmaenan 2,W01000172,155,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
58.2,58.2,Average,Average,,,W01000173,W01000173,156,,Penrhyn 1,W01000173,156,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
60.8,60.8,Average,Average,,,W01000174,W01000174,157,,Penrhyn 2,W01000174,157,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61.5,61.5,Average,Average,,,W01000175,W01000175,158,,Penrhyn 3,W01000175,158,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61,61,Average,Average,,,W01000176,W01000176,159,,Pen-sarn 1,W01000176,159,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
66.3,66.3,Average,Average,,,W01000177,W01000177,160,,Pen-sarn 2,W01000177,160,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
65,65,Average,Average,,,W01000178,W01000178,161,,Pentre Mawr 1,W01000178,161,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
66.9,66.9,Average,Average,,,W01000179,W01000179,162,,Pentre Mawr 2,W01000179,162,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
63.5,63.5,Average,Average,,,W01000180,W01000180,163,,Rhiw 1,W01000180,163,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
64.8,64.8,Average,Average,,,W01000181,W01000181,164,,Rhiw 2,W01000181,164,W06000003,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
