Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Area code,Area code_reference,Area code_sort,Area code_hierarchy,Area name,Area name_reference,Area name_sort,Area name_hierarchy,Domain,Domain_reference,Domain_sort,Domain_hierarchy,Notes
718,718,Rank,Rank,1,,W01000005,W01000005,3,,Beaumaris,W01000005,3,W06000001,Community safety,cs,8,,
375,375,Rank,Rank,1,,W01000005,W01000005,3,,Beaumaris,W01000005,3,W06000001,Physical environment,pe,9,,
991,991,Rank,Rank,1,,W01000006,W01000006,4,,Bodffordd,W01000006,4,W06000001,WIMD,wimd,1,,
1309,1309,Rank,Rank,1,,W01000006,W01000006,4,,Bodffordd,W01000006,4,W06000001,Income,inc,2,,
1227,1227,Rank,Rank,1,,W01000006,W01000006,4,,Bodffordd,W01000006,4,W06000001,Employment,emp,3,,
1104,1104,Rank,Rank,1,,W01000006,W01000006,4,,Bodffordd,W01000006,4,W06000001,Health,heal,4,,
1301,1301,Rank,Rank,1,,W01000006,W01000006,4,,Bodffordd,W01000006,4,W06000001,Education,educ,5,,
145,145,Rank,Rank,1,,W01000006,W01000006,4,,Bodffordd,W01000006,4,W06000001,Access to services,ats,6,,
180,180,Rank,Rank,1,,W01000006,W01000006,4,,Bodffordd,W01000006,4,W06000001,Housing,hous,7,,
1462,1462,Rank,Rank,1,,W01000006,W01000006,4,,Bodffordd,W01000006,4,W06000001,Community safety,cs,8,,
1870,1870,Rank,Rank,1,,W01000006,W01000006,4,,Bodffordd,W01000006,4,W06000001,Physical environment,pe,9,,
1026,1026,Rank,Rank,1,,W01000007,W01000007,5,,Bodorgan,W01000007,5,W06000001,WIMD,wimd,1,,
1168,1168,Rank,Rank,1,,W01000007,W01000007,5,,Bodorgan,W01000007,5,W06000001,Income,inc,2,,
1201,1201,Rank,Rank,1,,W01000007,W01000007,5,,Bodorgan,W01000007,5,W06000001,Employment,emp,3,,
1742,1742,Rank,Rank,1,,W01000007,W01000007,5,,Bodorgan,W01000007,5,W06000001,Health,heal,4,,
1417,1417,Rank,Rank,1,,W01000007,W01000007,5,,Bodorgan,W01000007,5,W06000001,Education,educ,5,,
113,113,Rank,Rank,1,,W01000007,W01000007,5,,Bodorgan,W01000007,5,W06000001,Access to services,ats,6,,
175,175,Rank,Rank,1,,W01000007,W01000007,5,,Bodorgan,W01000007,5,W06000001,Housing,hous,7,,
1441,1441,Rank,Rank,1,,W01000007,W01000007,5,,Bodorgan,W01000007,5,W06000001,Community safety,cs,8,,
1622,1622,Rank,Rank,1,,W01000007,W01000007,5,,Bodorgan,W01000007,5,W06000001,Physical environment,pe,9,,
1833,1833,Rank,Rank,1,,W01000008,W01000008,6,,Braint,W01000008,6,W06000001,WIMD,wimd,1,,
1615,1615,Rank,Rank,1,,W01000008,W01000008,6,,Braint,W01000008,6,W06000001,Income,inc,2,,
1680,1680,Rank,Rank,1,,W01000008,W01000008,6,,Braint,W01000008,6,W06000001,Employment,emp,3,,
1622,1622,Rank,Rank,1,,W01000008,W01000008,6,,Braint,W01000008,6,W06000001,Health,heal,4,,
1736,1736,Rank,Rank,1,,W01000008,W01000008,6,,Braint,W01000008,6,W06000001,Education,educ,5,,
1686,1686,Rank,Rank,1,,W01000008,W01000008,6,,Braint,W01000008,6,W06000001,Access to services,ats,6,,
1397,1397,Rank,Rank,1,,W01000008,W01000008,6,,Braint,W01000008,6,W06000001,Housing,hous,7,,
1566,1566,Rank,Rank,1,,W01000008,W01000008,6,,Braint,W01000008,6,W06000001,Community safety,cs,8,,
1523,1523,Rank,Rank,1,,W01000008,W01000008,6,,Braint,W01000008,6,W06000001,Physical environment,pe,9,,
573,573,Rank,Rank,1,,W01000009,W01000009,7,,Bryngwran,W01000009,7,W06000001,WIMD,wimd,1,,
717,717,Rank,Rank,1,,W01000009,W01000009,7,,Bryngwran,W01000009,7,W06000001,Income,inc,2,,
855,855,Rank,Rank,1,,W01000009,W01000009,7,,Bryngwran,W01000009,7,W06000001,Employment,emp,3,,
917,917,Rank,Rank,1,,W01000009,W01000009,7,,Bryngwran,W01000009,7,W06000001,Health,heal,4,,
627,627,Rank,Rank,1,,W01000009,W01000009,7,,Bryngwran,W01000009,7,W06000001,Education,educ,5,,
275,275,Rank,Rank,1,,W01000009,W01000009,7,,Bryngwran,W01000009,7,W06000001,Access to services,ats,6,,
82,82,Rank,Rank,1,,W01000009,W01000009,7,,Bryngwran,W01000009,7,W06000001,Housing,hous,7,,
869,869,Rank,Rank,1,,W01000009,W01000009,7,,Bryngwran,W01000009,7,W06000001,Community safety,cs,8,,
1410,1410,Rank,Rank,1,,W01000009,W01000009,7,,Bryngwran,W01000009,7,W06000001,Physical environment,pe,9,,
1249,1249,Rank,Rank,1,,W01000010,W01000010,8,,Brynteg,W01000010,8,W06000001,WIMD,wimd,1,,
1354,1354,Rank,Rank,1,,W01000010,W01000010,8,,Brynteg,W01000010,8,W06000001,Income,inc,2,,
1288,1288,Rank,Rank,1,,W01000010,W01000010,8,,Brynteg,W01000010,8,W06000001,Employment,emp,3,,
1445,1445,Rank,Rank,1,,W01000010,W01000010,8,,Brynteg,W01000010,8,W06000001,Health,heal,4,,
921,921,Rank,Rank,1,,W01000010,W01000010,8,,Brynteg,W01000010,8,W06000001,Education,educ,5,,
356,356,Rank,Rank,1,,W01000010,W01000010,8,,Brynteg,W01000010,8,W06000001,Access to services,ats,6,,
581,581,Rank,Rank,1,,W01000010,W01000010,8,,Brynteg,W01000010,8,W06000001,Housing,hous,7,,
1527,1527,Rank,Rank,1,,W01000010,W01000010,8,,Brynteg,W01000010,8,W06000001,Community safety,cs,8,,
1182,1182,Rank,Rank,1,,W01000010,W01000010,8,,Brynteg,W01000010,8,W06000001,Physical environment,pe,9,,
1550,1550,Rank,Rank,1,,W01000011,W01000011,9,,Cadnant (Isle of Anglesey),W01000011,9,W06000001,WIMD,wimd,1,,
1171,1171,Rank,Rank,1,,W01000011,W01000011,9,,Cadnant (Isle of Anglesey),W01000011,9,W06000001,Income,inc,2,,
1409,1409,Rank,Rank,1,,W01000011,W01000011,9,,Cadnant (Isle of Anglesey),W01000011,9,W06000001,Employment,emp,3,,
1649,1649,Rank,Rank,1,,W01000011,W01000011,9,,Cadnant (Isle of Anglesey),W01000011,9,W06000001,Health,heal,4,,
1604,1604,Rank,Rank,1,,W01000011,W01000011,9,,Cadnant (Isle of Anglesey),W01000011,9,W06000001,Education,educ,5,,
1594,1594,Rank,Rank,1,,W01000011,W01000011,9,,Cadnant (Isle of Anglesey),W01000011,9,W06000001,Access to services,ats,6,,
1435,1435,Rank,Rank,1,,W01000011,W01000011,9,,Cadnant (Isle of Anglesey),W01000011,9,W06000001,Housing,hous,7,,
475,475,Rank,Rank,1,,W01000011,W01000011,9,,Cadnant (Isle of Anglesey),W01000011,9,W06000001,Community safety,cs,8,,
594,594,Rank,Rank,1,,W01000011,W01000011,9,,Cadnant (Isle of Anglesey),W01000011,9,W06000001,Physical environment,pe,9,,
1348,1348,Rank,Rank,1,,W01000012,W01000012,10,,Cefni,W01000012,10,W06000001,WIMD,wimd,1,,
807,807,Rank,Rank,1,,W01000012,W01000012,10,,Cefni,W01000012,10,W06000001,Income,inc,2,,
993,993,Rank,Rank,1,,W01000012,W01000012,10,,Cefni,W01000012,10,W06000001,Employment,emp,3,,
1121,1121,Rank,Rank,1,,W01000012,W01000012,10,,Cefni,W01000012,10,W06000001,Health,heal,4,,
1443,1443,Rank,Rank,1,,W01000012,W01000012,10,,Cefni,W01000012,10,W06000001,Education,educ,5,,
1259,1259,Rank,Rank,1,,W01000012,W01000012,10,,Cefni,W01000012,10,W06000001,Access to services,ats,6,,
1442,1442,Rank,Rank,1,,W01000012,W01000012,10,,Cefni,W01000012,10,W06000001,Housing,hous,7,,
1238,1238,Rank,Rank,1,,W01000012,W01000012,10,,Cefni,W01000012,10,W06000001,Community safety,cs,8,,
1690,1690,Rank,Rank,1,,W01000012,W01000012,10,,Cefni,W01000012,10,W06000001,Physical environment,pe,9,,
1628,1628,Rank,Rank,1,,W01000013,W01000013,11,,Cwm Cadnant,W01000013,11,W06000001,WIMD,wimd,1,,
1685,1685,Rank,Rank,1,,W01000013,W01000013,11,,Cwm Cadnant,W01000013,11,W06000001,Income,inc,2,,
1789,1789,Rank,Rank,1,,W01000013,W01000013,11,,Cwm Cadnant,W01000013,11,W06000001,Employment,emp,3,,
1807,1807,Rank,Rank,1,,W01000013,W01000013,11,,Cwm Cadnant,W01000013,11,W06000001,Health,heal,4,,
1669,1669,Rank,Rank,1,,W01000013,W01000013,11,,Cwm Cadnant,W01000013,11,W06000001,Education,educ,5,,
255,255,Rank,Rank,1,,W01000013,W01000013,11,,Cwm Cadnant,W01000013,11,W06000001,Access to services,ats,6,,
1090,1090,Rank,Rank,1,,W01000013,W01000013,11,,Cwm Cadnant,W01000013,11,W06000001,Housing,hous,7,,
1464,1464,Rank,Rank,1,,W01000013,W01000013,11,,Cwm Cadnant,W01000013,11,W06000001,Community safety,cs,8,,
1751,1751,Rank,Rank,1,,W01000013,W01000013,11,,Cwm Cadnant,W01000013,11,W06000001,Physical environment,pe,9,,
1240,1240,Rank,Rank,1,,W01000014,W01000014,12,,Cyngar,W01000014,12,W06000001,WIMD,wimd,1,,
915,915,Rank,Rank,1,,W01000014,W01000014,12,,Cyngar,W01000014,12,W06000001,Income,inc,2,,
1047,1047,Rank,Rank,1,,W01000014,W01000014,12,,Cyngar,W01000014,12,W06000001,Employment,emp,3,,
1138,1138,Rank,Rank,1,,W01000014,W01000014,12,,Cyngar,W01000014,12,W06000001,Health,heal,4,,
1391,1391,Rank,Rank,1,,W01000014,W01000014,12,,Cyngar,W01000014,12,W06000001,Education,educ,5,,
600,600,Rank,Rank,1,,W01000014,W01000014,12,,Cyngar,W01000014,12,W06000001,Access to services,ats,6,,
1224,1224,Rank,Rank,1,,W01000014,W01000014,12,,Cyngar,W01000014,12,W06000001,Housing,hous,7,,
903,903,Rank,Rank,1,,W01000014,W01000014,12,,Cyngar,W01000014,12,W06000001,Community safety,cs,8,,
1396,1396,Rank,Rank,1,,W01000014,W01000014,12,,Cyngar,W01000014,12,W06000001,Physical environment,pe,9,,
1741,1741,Rank,Rank,1,,W01000015,W01000015,13,,Gwyngyll,W01000015,13,W06000001,WIMD,wimd,1,,
1494,1494,Rank,Rank,1,,W01000015,W01000015,13,,Gwyngyll,W01000015,13,W06000001,Income,inc,2,,
1402,1402,Rank,Rank,1,,W01000015,W01000015,13,,Gwyngyll,W01000015,13,W06000001,Employment,emp,3,,
1539,1539,Rank,Rank,1,,W01000015,W01000015,13,,Gwyngyll,W01000015,13,W06000001,Health,heal,4,,
1717,1717,Rank,Rank,1,,W01000015,W01000015,13,,Gwyngyll,W01000015,13,W06000001,Education,educ,5,,
1512,1512,Rank,Rank,1,,W01000015,W01000015,13,,Gwyngyll,W01000015,13,W06000001,Access to services,ats,6,,
1648,1648,Rank,Rank,1,,W01000015,W01000015,13,,Gwyngyll,W01000015,13,W06000001,Housing,hous,7,,
1554,1554,Rank,Rank,1,,W01000015,W01000015,13,,Gwyngyll,W01000015,13,W06000001,Community safety,cs,8,,
1172,1172,Rank,Rank,1,,W01000015,W01000015,13,,Gwyngyll,W01000015,13,W06000001,Physical environment,pe,9,,
112,112,Rank,Rank,1,,W01000016,W01000016,14,,Tref Cybi,W01000016,14,W06000001,WIMD,wimd,1,,
147,147,Rank,Rank,1,,W01000016,W01000016,14,,Tref Cybi,W01000016,14,W06000001,Income,inc,2,,
94,94,Rank,Rank,1,,W01000016,W01000016,14,,Tref Cybi,W01000016,14,W06000001,Employment,emp,3,,
154,154,Rank,Rank,1,,W01000016,W01000016,14,,Tref Cybi,W01000016,14,W06000001,Health,heal,4,,
330,330,Rank,Rank,1,,W01000016,W01000016,14,,Tref Cybi,W01000016,14,W06000001,Education,educ,5,,
1856,1856,Rank,Rank,1,,W01000016,W01000016,14,,Tref Cybi,W01000016,14,W06000001,Access to services,ats,6,,
68,68,Rank,Rank,1,,W01000016,W01000016,14,,Tref Cybi,W01000016,14,W06000001,Housing,hous,7,,
12,12,Rank,Rank,1,,W01000016,W01000016,14,,Tref Cybi,W01000016,14,W06000001,Community safety,cs,8,,
798,798,Rank,Rank,1,,W01000016,W01000016,14,,Tref Cybi,W01000016,14,W06000001,Physical environment,pe,9,,
440,440,Rank,Rank,1,,W01000017,W01000017,15,,Kingsland,W01000017,15,W06000001,WIMD,wimd,1,,
414,414,Rank,Rank,1,,W01000017,W01000017,15,,Kingsland,W01000017,15,W06000001,Income,inc,2,,
493,493,Rank,Rank,1,,W01000017,W01000017,15,,Kingsland,W01000017,15,W06000001,Employment,emp,3,,
665,665,Rank,Rank,1,,W01000017,W01000017,15,,Kingsland,W01000017,15,W06000001,Health,heal,4,,
165,165,Rank,Rank,1,,W01000017,W01000017,15,,Kingsland,W01000017,15,W06000001,Education,educ,5,,
933,933,Rank,Rank,1,,W01000017,W01000017,15,,Kingsland,W01000017,15,W06000001,Access to services,ats,6,,
915,915,Rank,Rank,1,,W01000017,W01000017,15,,Kingsland,W01000017,15,W06000001,Housing,hous,7,,
318,318,Rank,Rank,1,,W01000017,W01000017,15,,Kingsland,W01000017,15,W06000001,Community safety,cs,8,,
1560,1560,Rank,Rank,1,,W01000017,W01000017,15,,Kingsland,W01000017,15,W06000001,Physical environment,pe,9,,
913,913,Rank,Rank,1,,W01000018,W01000018,16,,Llanbadrig,W01000018,16,W06000001,WIMD,wimd,1,,
810,810,Rank,Rank,1,,W01000018,W01000018,16,,Llanbadrig,W01000018,16,W06000001,Income,inc,2,,
747,747,Rank,Rank,1,,W01000018,W01000018,16,,Llanbadrig,W01000018,16,W06000001,Employment,emp,3,,
987,987,Rank,Rank,1,,W01000018,W01000018,16,,Llanbadrig,W01000018,16,W06000001,Health,heal,4,,
926,926,Rank,Rank,1,,W01000018,W01000018,16,,Llanbadrig,W01000018,16,W06000001,Education,educ,5,,
639,639,Rank,Rank,1,,W01000018,W01000018,16,,Llanbadrig,W01000018,16,W06000001,Access to services,ats,6,,
521,521,Rank,Rank,1,,W01000018,W01000018,16,,Llanbadrig,W01000018,16,W06000001,Housing,hous,7,,
1316,1316,Rank,Rank,1,,W01000018,W01000018,16,,Llanbadrig,W01000018,16,W06000001,Community safety,cs,8,,
1501,1501,Rank,Rank,1,,W01000018,W01000018,16,,Llanbadrig,W01000018,16,W06000001,Physical environment,pe,9,,
1195,1195,Rank,Rank,1,,W01000019,W01000019,17,,Llanbedr-goch,W01000019,17,W06000001,WIMD,wimd,1,,
1508,1508,Rank,Rank,1,,W01000019,W01000019,17,,Llanbedr-goch,W01000019,17,W06000001,Income,inc,2,,
1390,1390,Rank,Rank,1,,W01000019,W01000019,17,,Llanbedr-goch,W01000019,17,W06000001,Employment,emp,3,,
1371,1371,Rank,Rank,1,,W01000019,W01000019,17,,Llanbedr-goch,W01000019,17,W06000001,Health,heal,4,,
749,749,Rank,Rank,1,,W01000019,W01000019,17,,Llanbedr-goch,W01000019,17,W06000001,Education,educ,5,,
443,443,Rank,Rank,1,,W01000019,W01000019,17,,Llanbedr-goch,W01000019,17,W06000001,Access to services,ats,6,,
502,502,Rank,Rank,1,,W01000019,W01000019,17,,Llanbedr-goch,W01000019,17,W06000001,Housing,hous,7,,
1255,1255,Rank,Rank,1,,W01000019,W01000019,17,,Llanbedr-goch,W01000019,17,W06000001,Community safety,cs,8,,
541,541,Rank,Rank,1,,W01000019,W01000019,17,,Llanbedr-goch,W01000019,17,W06000001,Physical environment,pe,9,,
898,898,Rank,Rank,1,,W01000021,W01000021,18,,Llaneilian,W01000021,18,W06000001,WIMD,wimd,1,,
1135,1135,Rank,Rank,1,,W01000021,W01000021,18,,Llaneilian,W01000021,18,W06000001,Income,inc,2,,
1097,1097,Rank,Rank,1,,W01000021,W01000021,18,,Llaneilian,W01000021,18,W06000001,Employment,emp,3,,
1192,1192,Rank,Rank,1,,W01000021,W01000021,18,,Llaneilian,W01000021,18,W06000001,Health,heal,4,,
1195,1195,Rank,Rank,1,,W01000021,W01000021,18,,Llaneilian,W01000021,18,W06000001,Education,educ,5,,
180,180,Rank,Rank,1,,W01000021,W01000021,18,,Llaneilian,W01000021,18,W06000001,Access to services,ats,6,,
131,131,Rank,Rank,1,,W01000021,W01000021,18,,Llaneilian,W01000021,18,W06000001,Housing,hous,7,,
1482,1482,Rank,Rank,1,,W01000021,W01000021,18,,Llaneilian,W01000021,18,W06000001,Community safety,cs,8,,
1659,1659,Rank,Rank,1,,W01000021,W01000021,18,,Llaneilian,W01000021,18,W06000001,Physical environment,pe,9,,
627,627,Rank,Rank,1,,W01000022,W01000022,19,,Llanfaethlu,W01000022,19,W06000001,WIMD,wimd,1,,
958,958,Rank,Rank,1,,W01000022,W01000022,19,,Llanfaethlu,W01000022,19,W06000001,Income,inc,2,,
1030,1030,Rank,Rank,1,,W01000022,W01000022,19,,Llanfaethlu,W01000022,19,W06000001,Employment,emp,3,,
1292,1292,Rank,Rank,1,,W01000022,W01000022,19,,Llanfaethlu,W01000022,19,W06000001,Health,heal,4,,
818,818,Rank,Rank,1,,W01000022,W01000022,19,,Llanfaethlu,W01000022,19,W06000001,Education,educ,5,,
54,54,Rank,Rank,1,,W01000022,W01000022,19,,Llanfaethlu,W01000022,19,W06000001,Access to services,ats,6,,
73,73,Rank,Rank,1,,W01000022,W01000022,19,,Llanfaethlu,W01000022,19,W06000001,Housing,hous,7,,
1414,1414,Rank,Rank,1,,W01000022,W01000022,19,,Llanfaethlu,W01000022,19,W06000001,Community safety,cs,8,,
1566,1566,Rank,Rank,1,,W01000022,W01000022,19,,Llanfaethlu,W01000022,19,W06000001,Physical environment,pe,9,,
904,904,Rank,Rank,1,,W01000023,W01000023,20,,Llanfair-yn-Neubwll 1,W01000023,20,W06000001,WIMD,wimd,1,,
820,820,Rank,Rank,1,,W01000023,W01000023,20,,Llanfair-yn-Neubwll 1,W01000023,20,W06000001,Income,inc,2,,
1109,1109,Rank,Rank,1,,W01000023,W01000023,20,,Llanfair-yn-Neubwll 1,W01000023,20,W06000001,Employment,emp,3,,
962,962,Rank,Rank,1,,W01000023,W01000023,20,,Llanfair-yn-Neubwll 1,W01000023,20,W06000001,Health,heal,4,,
831,831,Rank,Rank,1,,W01000023,W01000023,20,,Llanfair-yn-Neubwll 1,W01000023,20,W06000001,Education,educ,5,,
297,297,Rank,Rank,1,,W01000023,W01000023,20,,Llanfair-yn-Neubwll 1,W01000023,20,W06000001,Access to services,ats,6,,
505,505,Rank,Rank,1,,W01000023,W01000023,20,,Llanfair-yn-Neubwll 1,W01000023,20,W06000001,Housing,hous,7,,
1232,1232,Rank,Rank,1,,W01000023,W01000023,20,,Llanfair-yn-Neubwll 1,W01000023,20,W06000001,Community safety,cs,8,,
1831,1831,Rank,Rank,1,,W01000023,W01000023,20,,Llanfair-yn-Neubwll 1,W01000023,20,W06000001,Physical environment,pe,9,,
927,927,Rank,Rank,1,,W01000024,W01000024,21,,Llanfair-yn-Neubwll 2,W01000024,21,W06000001,WIMD,wimd,1,,
891,891,Rank,Rank,1,,W01000024,W01000024,21,,Llanfair-yn-Neubwll 2,W01000024,21,W06000001,Income,inc,2,,
1105,1105,Rank,Rank,1,,W01000024,W01000024,21,,Llanfair-yn-Neubwll 2,W01000024,21,W06000001,Employment,emp,3,,
1256,1256,Rank,Rank,1,,W01000024,W01000024,21,,Llanfair-yn-Neubwll 2,W01000024,21,W06000001,Health,heal,4,,
841,841,Rank,Rank,1,,W01000024,W01000024,21,,Llanfair-yn-Neubwll 2,W01000024,21,W06000001,Education,educ,5,,
249,249,Rank,Rank,1,,W01000024,W01000024,21,,Llanfair-yn-Neubwll 2,W01000024,21,W06000001,Access to services,ats,6,,
421,421,Rank,Rank,1,,W01000024,W01000024,21,,Llanfair-yn-Neubwll 2,W01000024,21,W06000001,Housing,hous,7,,
1066,1066,Rank,Rank,1,,W01000024,W01000024,21,,Llanfair-yn-Neubwll 2,W01000024,21,W06000001,Community safety,cs,8,,
1859,1859,Rank,Rank,1,,W01000024,W01000024,21,,Llanfair-yn-Neubwll 2,W01000024,21,W06000001,Physical environment,pe,9,,
1159,1159,Rank,Rank,1,,W01000025,W01000025,22,,Llanfihangel Ysgeifiog,W01000025,22,W06000001,WIMD,wimd,1,,
1052,1052,Rank,Rank,1,,W01000025,W01000025,22,,Llanfihangel Ysgeifiog,W01000025,22,W06000001,Income,inc,2,,
1434,1434,Rank,Rank,1,,W01000025,W01000025,22,,Llanfihangel Ysgeifiog,W01000025,22,W06000001,Employment,emp,3,,
1317,1317,Rank,Rank,1,,W01000025,W01000025,22,,Llanfihangel Ysgeifiog,W01000025,22,W06000001,Health,heal,4,,
1375,1375,Rank,Rank,1,,W01000025,W01000025,22,,Llanfihangel Ysgeifiog,W01000025,22,W06000001,Education,educ,5,,
303,303,Rank,Rank,1,,W01000025,W01000025,22,,Llanfihangel Ysgeifiog,W01000025,22,W06000001,Access to services,ats,6,,
293,293,Rank,Rank,1,,W01000025,W01000025,22,,Llanfihangel Ysgeifiog,W01000025,22,W06000001,Housing,hous,7,,
1467,1467,Rank,Rank,1,,W01000025,W01000025,22,,Llanfihangel Ysgeifiog,W01000025,22,W06000001,Community safety,cs,8,,
1238,1238,Rank,Rank,1,,W01000025,W01000025,22,,Llanfihangel Ysgeifiog,W01000025,22,W06000001,Physical environment,pe,9,,
775,775,Rank,Rank,1,,W01000026,W01000026,23,,Llangoed,W01000026,23,W06000001,WIMD,wimd,1,,
1063,1063,Rank,Rank,1,,W01000026,W01000026,23,,Llangoed,W01000026,23,W06000001,Income,inc,2,,
1146,1146,Rank,Rank,1,,W01000026,W01000026,23,,Llangoed,W01000026,23,W06000001,Employment,emp,3,,
1131,1131,Rank,Rank,1,,W01000026,W01000026,23,,Llangoed,W01000026,23,W06000001,Health,heal,4,,
875,875,Rank,Rank,1,,W01000026,W01000026,23,,Llangoed,W01000026,23,W06000001,Education,educ,5,,
141,141,Rank,Rank,1,,W01000026,W01000026,23,,Llangoed,W01000026,23,W06000001,Access to services,ats,6,,
98,98,Rank,Rank,1,,W01000026,W01000026,23,,Llangoed,W01000026,23,W06000001,Housing,hous,7,,
1399,1399,Rank,Rank,1,,W01000026,W01000026,23,,Llangoed,W01000026,23,W06000001,Community safety,cs,8,,
1797,1797,Rank,Rank,1,,W01000026,W01000026,23,,Llangoed,W01000026,23,W06000001,Physical environment,pe,9,,
780,780,Rank,Rank,1,,W01000027,W01000027,24,,Llanidan,W01000027,24,W06000001,WIMD,wimd,1,,
1231,1231,Rank,Rank,1,,W01000027,W01000027,24,,Llanidan,W01000027,24,W06000001,Income,inc,2,,
1125,1125,Rank,Rank,1,,W01000027,W01000027,24,,Llanidan,W01000027,24,W06000001,Employment,emp,3,,
1137,1137,Rank,Rank,1,,W01000027,W01000027,24,,Llanidan,W01000027,24,W06000001,Health,heal,4,,
1007,1007,Rank,Rank,1,,W01000027,W01000027,24,,Llanidan,W01000027,24,W06000001,Education,educ,5,,
78,78,Rank,Rank,1,,W01000027,W01000027,24,,Llanidan,W01000027,24,W06000001,Access to services,ats,6,,
147,147,Rank,Rank,1,,W01000027,W01000027,24,,Llanidan,W01000027,24,W06000001,Housing,hous,7,,
1360,1360,Rank,Rank,1,,W01000027,W01000027,24,,Llanidan,W01000027,24,W06000001,Community safety,cs,8,,
1228,1228,Rank,Rank,1,,W01000027,W01000027,24,,Llanidan,W01000027,24,W06000001,Physical environment,pe,9,,
645,645,Rank,Rank,1,,W01000028,W01000028,25,,Llannerch-y-medd,W01000028,25,W06000001,WIMD,wimd,1,,
773,773,Rank,Rank,1,,W01000028,W01000028,25,,Llannerch-y-medd,W01000028,25,W06000001,Income,inc,2,,
992,992,Rank,Rank,1,,W01000028,W01000028,25,,Llannerch-y-medd,W01000028,25,W06000001,Employment,emp,3,,
1258,1258,Rank,Rank,1,,W01000028,W01000028,25,,Llannerch-y-medd,W01000028,25,W06000001,Health,heal,4,,
843,843,Rank,Rank,1,,W01000028,W01000028,25,,Llannerch-y-medd,W01000028,25,W06000001,Education,educ,5,,
100,100,Rank,Rank,1,,W01000028,W01000028,25,,Llannerch-y-medd,W01000028,25,W06000001,Access to services,ats,6,,
144,144,Rank,Rank,1,,W01000028,W01000028,25,,Llannerch-y-medd,W01000028,25,W06000001,Housing,hous,7,,
1137,1137,Rank,Rank,1,,W01000028,W01000028,25,,Llannerch-y-medd,W01000028,25,W06000001,Community safety,cs,8,,
