location_id,country,official_domain,bua_environment_index_0_100,bua_official_domain_rank_percentile,source_local_authority_codes,local_authority_domain_rank_percentile,bua_minus_local_authority_percentile,population_covered,population_expected,coverage_complete,use
hull-kingston-upon-hull,England,English IoD 2025 Living Environment,59.042,47.271928,E06000010;E06000011,52.229204,-4.957276,270816,270816,true,within-country validation and boundary diagnostic only
ipswich,England,English IoD 2025 Living Environment,44.552,55.871906,E07000200;E07000202;E07000203;E07000244,53.476181,2.395724,151566,151566,true,within-country validation and boundary diagnostic only
kettering,England,English IoD 2025 Living Environment,54.192,54.841317,E06000061,64.626881,-9.785564,63149,63149,true,within-country validation and boundary diagnostic only
lancaster,England,English IoD 2025 Living Environment,56.883,37.861144,E07000121,37.827789,0.033355,52646,52646,true,within-country validation and boundary diagnostic only
leeds,England,English IoD 2025 Living Environment,40.887,35.554065,E08000035,41.206303,-5.652238,536262,536262,true,within-country validation and boundary diagnostic only
leicester,England,English IoD 2025 Living Environment,49.470,38.236218,E06000016;E07000129;E07000130;E07000131,51.172863,-12.936645,406331,406331,true,within-country validation and boundary diagnostic only
lincoln,England,English IoD 2025 Living Environment,55.175,54.521997,E07000138;E07000142,55.617695,-1.095699,104553,104553,true,within-country validation and boundary diagnostic only
liverpool,England,English IoD 2025 Living Environment,55.175,37.623503,E08000011;E08000012;E08000014,43.315232,-5.691729,506768,506768,true,within-country validation and boundary diagnostic only
llanelli,Wales,WIMD 2025 Physical Environment,48.849,43.639465,W06000010,56.145352,-12.505888,42143,42143,true,within-country validation and boundary diagnostic only
loughborough,England,English IoD 2025 Living Environment,52.764,57.120621,E07000130,62.913887,-5.793265,64299,64299,true,within-country validation and boundary diagnostic only
luton,England,English IoD 2025 Living Environment,32.725,48.454304,E06000032;E06000056,60.422130,-11.967827,233524,233524,true,within-country validation and boundary diagnostic only
manchester,England,English IoD 2025 Living Environment,44.668,33.030915,E08000003;E08000007;E08000009,40.595137,-7.564223,470736,470736,true,within-country validation and boundary diagnostic only
merthyr-tydfil,Wales,WIMD 2025 Physical Environment,62.318,55.842495,W06000024,51.983789,3.858705,40817,40817,true,within-country validation and boundary diagnostic only
middlesbrough,England,English IoD 2025 Living Environment,58.440,54.249848,E06000002;E06000003,56.390357,-2.140510,147862,147862,true,within-country validation and boundary diagnostic only
milton-keynes,England,English IoD 2025 Living Environment,81.528,85.249209,E06000042,81.453029,3.796180,194584,194584,true,within-country validation and boundary diagnostic only
narberth,Wales,WIMD 2025 Physical Environment,61.405,87.845592,W06000009,77.308705,10.536887,2365,2365,true,within-country validation and boundary diagnostic only
neath,Wales,WIMD 2025 Physical Environment,50.920,45.025161,W06000012,43.860297,1.164864,40738,40738,true,within-country validation and boundary diagnostic only
newbridge,Wales,WIMD 2025 Physical Environment,45.648,26.112872,W06000018,42.367068,-16.254197,7582,7582,true,within-country validation and boundary diagnostic only
newcastle-upon-tyne,England,English IoD 2025 Living Environment,58.835,44.965766,E08000021;E08000022,49.793745,-4.827979,285852,285852,true,within-country validation and boundary diagnostic only
newport,Wales,WIMD 2025 Physical Environment,60.452,20.059333,W06000022,22.411750,-2.352416,130882,130882,true,within-country validation and boundary diagnostic only
northampton,England,English IoD 2025 Living Environment,62.591,59.861798,E06000062,60.245783,-0.383985,243883,243883,true,within-country validation and boundary diagnostic only
norwich,England,English IoD 2025 Living Environment,55.607,60.196902,E07000144;E07000148;E07000149,59.292692,0.904211,200492,200492,true,within-country validation and boundary diagnostic only
nottingham,England,English IoD 2025 Living Environment,47.500,34.814825,E06000018;E07000172;E07000173,43.143406,-8.328581,299786,299786,true,within-country validation and boundary diagnostic only
oxford,England,English IoD 2025 Living Environment,60.275,55.779748,E07000178;E07000179;E07000180,65.495845,-9.716096,169612,169612,true,within-country validation and boundary diagnostic only
peterborough,England,English IoD 2025 Living Environment,66.836,66.870918,E06000031;E07000011,69.524194,-2.653276,190592,190592,true,within-country validation and boundary diagnostic only
plymouth,England,English IoD 2025 Living Environment,75.554,57.523541,E06000026;E07000044,54.159142,3.364400,266970,266970,true,within-country validation and boundary diagnostic only
portsmouth,England,English IoD 2025 Living Environment,43.638,35.207169,E06000044;E07000087;E07000090,55.933741,-20.726571,223324,223324,true,within-country validation and boundary diagnostic only
preston,England,English IoD 2025 Living Environment,47.654,33.423241,E07000123,45.090919,-11.667679,94502,94502,true,within-country validation and boundary diagnostic only
reading,England,English IoD 2025 Living Environment,45.246,60.705714,E06000037;E06000038;E06000041,65.413555,-4.707841,203097,203097,true,within-country validation and boundary diagnostic only
rhyl,Wales,WIMD 2025 Physical Environment,55.152,55.740884,W06000004,54.640670,1.100213,26982,26982,true,within-country validation and boundary diagnostic only
rotherham,England,English IoD 2025 Living Environment,38.209,49.795674,E08000018,60.196169,-10.400494,70761,70761,true,within-country validation and boundary diagnostic only
rye,England,English IoD 2025 Living Environment,46.376,40.748158,E07000064,51.321308,-10.573151,4888,4888,true,within-country validation and boundary diagnostic only
salford,England,English IoD 2025 Living Environment,49.135,31.199740,E08000006,39.350233,-8.150493,108431,108431,true,within-country validation and boundary diagnostic only
sheffield,England,English IoD 2025 Living Environment,53.476,47.116692,E08000018;E08000019,52.288141,-5.171449,500587,500587,true,within-country validation and boundary diagnostic only
shrewsbury,England,English IoD 2025 Living Environment,67.060,67.262045,E06000051,46.861760,20.400284,75784,75784,true,within-country validation and boundary diagnostic only
southampton,England,English IoD 2025 Living Environment,49.941,46.998470,E06000045;E07000086,57.256066,-10.257596,249633,249633,true,within-country validation and boundary diagnostic only
southend-on-sea,England,English IoD 2025 Living Environment,28.968,39.103395,E06000033;E07000069;E07000075,51.569422,-12.466027,182295,182295,true,within-country validation and boundary diagnostic only
st-helens,England,English IoD 2025 Living Environment,58.705,47.477554,E08000013,48.796699,-1.319146,107409,107409,true,within-country validation and boundary diagnostic only
stafford,England,English IoD 2025 Living Environment,43.282,69.857705,E07000197,63.458801,6.398904,71695,71695,true,within-country validation and boundary diagnostic only
stockport,England,English IoD 2025 Living Environment,39.497,35.195808,E08000007,44.732235,-9.536427,118146,118146,true,within-country validation and boundary diagnostic only
stockton-on-tees,England,English IoD 2025 Living Environment,60.312,57.391648,E06000004,67.263418,-9.871770,84824,84824,true,within-country validation and boundary diagnostic only
stoke-on-trent,England,English IoD 2025 Living Environment,52.804,48.371345,E06000021;E07000195;E07000197,54.122322,-5.750977,260001,260001,true,within-country validation and boundary diagnostic only
sunderland,England,English IoD 2025 Living Environment,41.430,45.676262,E08000024,53.558848,-7.882586,167989,167989,true,within-country validation and boundary diagnostic only
swansea,Wales,WIMD 2025 Physical Environment,63.695,54.188490,W06000011;W06000012,52.935722,1.252769,169795,169795,true,within-country validation and boundary diagnostic only
swindon,England,English IoD 2025 Living Environment,83.785,67.780496,E06000030;E06000054,61.690472,6.090023,183687,183687,true,within-country validation and boundary diagnostic only
telford,England,English IoD 2025 Living Environment,78.993,78.351193,E06000020,76.896446,1.454746,156326,156326,true,within-country validation and boundary diagnostic only
tenby,Wales,WIMD 2025 Physical Environment,46.129,64.476215,W06000009,77.308705,-12.832490,4092,4092,true,within-country validation and boundary diagnostic only
torbay,England,English IoD 2025 Living Environment,61.849,48.431041,E06000027,48.504215,-0.073175,137645,137645,true,within-country validation and boundary diagnostic only
wakefield,England,English IoD 2025 Living Environment,47.883,50.405225,E08000036,55.666444,-5.261219,97656,97656,true,within-country validation and boundary diagnostic only
walsall,England,English IoD 2025 Living Environment,20.801,27.738919,E08000030,46.775294,-19.036375,70777,70777,true,within-country validation and boundary diagnostic only
warrington,England,English IoD 2025 Living Environment,60.459,57.089411,E06000007,57.334855,-0.245444,174064,174064,true,within-country validation and boundary diagnostic only
wigan,England,English IoD 2025 Living Environment,50.340,49.633842,E08000010,52.644326,-3.010484,81514,81514,true,within-country validation and boundary diagnostic only
wolverhampton,England,English IoD 2025 Living Environment,35.858,47.646219,E07000196;E08000031,53.152701,-5.506482,233643,233643,true,within-country validation and boundary diagnostic only
worcester,England,English IoD 2025 Living Environment,49.799,60.526212,E07000237;E07000238,60.993226,-0.467014,105439,105439,true,within-country validation and boundary diagnostic only
wrexham,Wales,WIMD 2025 Physical Environment,77.165,64.064727,W06000006,66.326702,-2.261976,44277,44277,true,within-country validation and boundary diagnostic only
york,England,English IoD 2025 Living Environment,69.343,54.794390,E06000014,61.995632,-7.201242,141286,141286,true,within-country validation and boundary diagnostic only
