location_id,category,local_authority_code,csp_code,csp_name,boundary_vintage,boundary_basis,mapping_reason,force_code,force_name,period_start,period_end,count,population,population_period,population_rounding,published_rate_per_1000,force_count,force_unallocated_count,coverage,evidence_id,source_url,retrieval_date,source_cells,source_sha256,rate_per_1000,force_unallocated_percent,transformation,review_status,missing_reason
blackpool,sexual_offences,E06000009,E22000151,Blackpool,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000003,Lancashire,2025-04-01,2026-03-31,989,144200,mid-2024,nearest 100,6.8589579099943823,5950,183,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N178; Table C4!G178; Table C4!P178,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,6.859,3.076,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
blackpool,asb,E06000009,E22000151,Blackpool,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,,,,,,,,,,,,,,,,,,,,,ASB excluded pending force/month coverage and geography review,No verified compatible CSP ASB numerator acquired; ONS appendix D4/D5 are national totals
bolton,violence_against_person,E08000001,E22000099,Bolton,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000005,Greater Manchester,2025-04-01,2026-03-31,13243,310100,mid-2024,nearest 100,42.707644678072143,125640,205,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H111; Table C4!G111; Table C4!J111,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,42.706,0.163,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
bolton,sexual_offences,E08000001,E22000099,Bolton,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000005,Greater Manchester,2025-04-01,2026-03-31,1232,310100,mid-2024,nearest 100,3.9731041488624084,12751,23,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N111; Table C4!G111; Table C4!P111,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,3.973,0.180,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
bolton,asb,E08000001,E22000099,Bolton,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,,,,,,,,,,,,,,,,,,,,,ASB excluded pending force/month coverage and geography review,No verified compatible CSP ASB numerator acquired; ONS appendix D4/D5 are national totals
bradford,violence_against_person,E08000032,E22000342,Bradford,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000010,West Yorkshire,2025-04-01,2026-03-31,29089,563600,mid-2024,nearest 100,51.612388108693146,111552,6,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H398; Table C4!G398; Table C4!J398,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,51.613,0.005,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
bradford,sexual_offences,E08000032,E22000342,Bradford,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000010,West Yorkshire,2025-04-01,2026-03-31,2697,563600,mid-2024,nearest 100,4.7852662769137968,10639,6,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N398; Table C4!G398; Table C4!P398,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,4.785,0.056,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
bradford,asb,E08000032,E22000342,Bradford,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,,,,,,,,,,,,,,,,,,,,,ASB excluded pending force/month coverage and geography review,No verified compatible CSP ASB numerator acquired; ONS appendix D4/D5 are national totals
burnley,violence_against_person,E07000117,E22000152,Burnley,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000003,Lancashire,2025-04-01,2026-03-31,4196,99200,mid-2024,nearest 100,42.284320740076389,56236,980,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H179; Table C4!G179; Table C4!J179,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,42.298,1.743,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
burnley,sexual_offences,E07000117,E22000152,Burnley,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000003,Lancashire,2025-04-01,2026-03-31,440,99200,mid-2024,nearest 100,4.4340088478631099,5950,183,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N179; Table C4!G179; Table C4!P179,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,4.435,3.076,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
burnley,asb,E07000117,E22000152,Burnley,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,,,,,,,,,,,,,,,,,,,,,ASB excluded pending force/month coverage and geography review,No verified compatible CSP ASB numerator acquired; ONS appendix D4/D5 are national totals
burton-on-trent,violence_against_person,E07000193,E22000264,East Staffordshire,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000015,Staffordshire,2025-04-01,2026-03-31,3921,129700,mid-2024,nearest 100,30.240862570280505,37896,450,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H314; Table C4!G314; Table C4!J314,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,30.231,1.187,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
burton-on-trent,sexual_offences,E07000193,E22000264,East Staffordshire,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000015,Staffordshire,2025-04-01,2026-03-31,390,129700,mid-2024,nearest 100,3.0078899266537609,4261,76,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N314; Table C4!G314; Table C4!P314,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,3.007,1.784,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
burton-on-trent,asb,E07000193,E22000264,East Staffordshire,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,,,,,,,,,,,,,,,,,,,,,ASB excluded pending force/month coverage and geography review,No verified compatible CSP ASB numerator acquired; ONS appendix D4/D5 are national totals
cardiff,violence_against_person,W06000015,W14000015,Cardiff,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,W15000003,South Wales,2025-04-01,2026-03-31,11438,383900,mid-2024,nearest 100,29.792742740005053,41549,290,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H300; Table C4!G300; Table C4!J300,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,29.794,0.698,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
cardiff,sexual_offences,W06000015,W14000015,Cardiff,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,W15000003,South Wales,2025-04-01,2026-03-31,1344,383900,mid-2024,nearest 100,3.5007384370140575,4678,55,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N300; Table C4!G300; Table C4!P300,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,3.501,1.176,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
cardiff,asb,W06000015,W14000015,Cardiff,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,,,,,,,,,,,,,,,,,,,,,ASB excluded pending force/month coverage and geography review,No verified compatible CSP ASB numerator acquired; ONS appendix D4/D5 are national totals
chester,violence_against_person,E06000050,E22000355,Cheshire West and Chester,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000006,Cheshire,2025-04-01,2026-03-31,11286,371700,mid-2024,nearest 100,30.367117626166412,34480,77,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H31; Table C4!G31; Table C4!J31,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,30.363,0.223,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
chester,sexual_offences,E06000050,E22000355,Cheshire West and Chester,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000006,Cheshire,2025-04-01,2026-03-31,1343,371700,mid-2024,nearest 100,3.6135955140830669,4133,65,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N31; Table C4!G31; Table C4!P31,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,3.613,1.573,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
chester,asb,E06000050,E22000355,Cheshire West and Chester,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,,,,,,,,,,,,,,,,,,,,,ASB excluded pending force/month coverage and geography review,No verified compatible CSP ASB numerator acquired; ONS appendix D4/D5 are national totals
chesterfield,violence_against_person,E07000034,E22000039,Chesterfield,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000018,Derbyshire,2025-04-01,2026-03-31,4779,106000,mid-2024,nearest 100,45.065773963883252,36884,359,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H53; Table C4!G53; Table C4!J53,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,45.085,0.973,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
chesterfield,sexual_offences,E07000034,E22000039,Chesterfield,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000018,Derbyshire,2025-04-01,2026-03-31,414,106000,mid-2024,nearest 100,3.9040030175868736,3886,63,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N53; Table C4!G53; Table C4!P53,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,3.906,1.621,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
chesterfield,asb,E07000034,E22000039,Chesterfield,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,,,,,,,,,,,,,,,,,,,,,ASB excluded pending force/month coverage and geography review,No verified compatible CSP ASB numerator acquired; ONS appendix D4/D5 are national totals
coventry,violence_against_person,E08000026,E22000336,Coventry,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000014,West Midlands,2025-04-01,2026-03-31,12676,369000,mid-2024,nearest 100,34.349883206061364,120341,1301,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H390; Table C4!G390; Table C4!J390,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,34.352,1.081,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
coventry,sexual_offences,E08000026,E22000336,Coventry,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000014,West Midlands,2025-04-01,2026-03-31,1428,369000,mid-2024,nearest 100,3.8696460412003493,12069,233,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N390; Table C4!G390; Table C4!P390,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,3.870,1.931,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
coventry,asb,E08000026,E22000336,Coventry,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,,,,,,,,,,,,,,,,,,,,,ASB excluded pending force/month coverage and geography review,No verified compatible CSP ASB numerator acquired; ONS appendix D4/D5 are national totals
darlington,violence_against_person,E06000005,E22000072,Darlington,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000008,Durham,2025-04-01,2026-03-31,3940,112500,mid-2024,nearest 100,35.025646952146431,22999,186,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H78; Table C4!G78; Table C4!J78,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,35.022,0.809,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
darlington,sexual_offences,E06000005,E22000072,Darlington,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000008,Durham,2025-04-01,2026-03-31,456,112500,mid-2024,nearest 100,4.0537296980149176,2536,66,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N78; Table C4!G78; Table C4!P78,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,4.053,2.603,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
darlington,asb,E06000005,E22000072,Darlington,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,,,,,,,,,,,,,,,,,,,,,ASB excluded pending force/month coverage and geography review,No verified compatible CSP ASB numerator acquired; ONS appendix D4/D5 are national totals
derby,violence_against_person,E06000015,E22000040,Derby,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000018,Derbyshire,2025-04-01,2026-03-31,12677,274100,mid-2024,nearest 100,46.241277553447219,36884,359,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H54; Table C4!G54; Table C4!J54,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,46.250,0.973,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
derby,sexual_offences,E06000015,E22000040,Derby,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000018,Derbyshire,2025-04-01,2026-03-31,1340,274100,mid-2024,nearest 100,4.8878529558743606,3886,63,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N54; Table C4!G54; Table C4!P54,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,4.889,1.621,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Reviewed separate CSP recorded-offence rate; no safety interpretation,
