id,name,country,localAuthority,lat,lon,buy.proxyMedian,buy.transactions,buy.housingCostConfidence,buy.oneBedCount,buy.housingCostReason,rent.proxyMonthly,rent.housingCostConfidence,rent.oneBedCount,rent.housingCostReason,market.reason,localTransport.pt_connectivity_0_100,localTransport.national_percentile,localTransport.score,localTransport.source_period,localTransport.retrieval_date,localTransport.evidence_id,localTransport.geography_code,localTransport.geography_vintage,localTransport.population_covered,localTransport.population_expected,localTransport.method_version,localTransport.confidence,localTransport.reason,nationalTransport.londonMinutes,nationalTransport.londonChanges,nationalTransport.birminghamMinutes,nationalTransport.birminghamChanges,nationalTransport.confidence,nationalTransport.reason,residentialEnvironment.air_burden,residentialEnvironment.no2_ug_m3,residentialEnvironment.pm25_ug_m3,residentialEnvironment.pm10_ug_m3,residentialEnvironment.noise_exposed_pct,residentialEnvironment.green_within_300m_pct,residentialEnvironment.green_area_within_1000m_m2,residentialEnvironment.epc_sap_mean,residentialEnvironment.air_percentile,residentialEnvironment.quiet_percentile,residentialEnvironment.green_percentile,residentialEnvironment.housing_environment_percentile,residentialEnvironment.environment_index_0_100,residentialEnvironment.national_percentile,residentialEnvironment.score,residentialEnvironment.air_period,residentialEnvironment.quiet_period,residentialEnvironment.green_period,residentialEnvironment.housing_environment_period,residentialEnvironment.air_evidence_id,residentialEnvironment.quiet_evidence_id,residentialEnvironment.green_evidence_id,residentialEnvironment.housing_environment_evidence_id,residentialEnvironment.geography_code,residentialEnvironment.geography_vintage,residentialEnvironment.air_population_covered,residentialEnvironment.quiet_population_covered,residentialEnvironment.green_population_covered,residentialEnvironment.housing_environment_population_covered,residentialEnvironment.population_expected,residentialEnvironment.method_version,residentialEnvironment.confidence,residentialEnvironment.reason,composite.safety,composite.buy.score,composite.buy.band,composite.buy.safety,composite.buy.local_transport,composite.buy.residential_environment,composite.buy.national_transport,composite.buy.housing_cost,composite.buy.stock,composite.rent.score,composite.rent.band,composite.rent.safety,composite.rent.local_transport,composite.rent.residential_environment,composite.rent.national_transport,composite.rent.housing_cost,composite.rent.stock
chesterfield,Chesterfield,England,Chesterfield,53.23633,-1.429206,115500,204,High,14,"Median of 204 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",538,Medium,31,Official one-bedroom modelled average for Chesterfield LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 14 sale and 31 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",67.8619,49.5,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63008717,April 2024,76394,76394,dft-connectivity-bua24-v1,High,Population-weighted mean across Chesterfield; Reviewed official BUA name corresponds directly to the broad screen location.,112,0,56,0,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",1.0052,8.57,7.085,11.125,34.765,71.194,199234.88,64.915,56.851,49.455,52.254,35.357,48.479,48.605,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63008717,April 2024,76394,76394,76394,76394,76394,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",2.0,60.0,low,2.0,3,3,4.5,4,2,67.1,high,2.0,3,3,4.5,5,3
coventry,Coventry,England,Coventry,52.407707,-1.506857,135000,830,High,88,"Median of 830 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",759,Medium,184,Official one-bedroom modelled average for Coventry LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 88 sale and 184 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",72.8496,63.8,4,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63010120,April 2024,343623,343623,dft-connectivity-bua24-v1,High,Population-weighted mean across Coventry; Reviewed official BUA name corresponds directly to the broad screen location.,56,0,20,0,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",1.141,11.19,7.511,12.026,35.177,69.401,216870.69,65.168,31.109,47.929,52.831,40.075,42.986,34.967,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63010120,April 2024,343623,343623,343623,343623,343623,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",3.5,70.0,high,3.5,4,2,5.0,3,4,66.5,mid,3.5,4,2,5.0,2,4
darlington,Darlington,England,Darlington,54.523274,-1.553611,95000,220,High,23,"Median of 220 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",494,Medium,24,Official one-bedroom modelled average for Darlington LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 23 sale and 24 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",68.5549,51.5,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63007428,April 2024,93058,93058,dft-connectivity-bua24-v1,High,Population-weighted mean across Darlington; Reviewed official BUA name corresponds directly to the broad screen location.,152,1,143,0,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",0.8109,7.112,5.52,9.262,34.353,75.104,199669.16,64.14,85.754,51.236,61.007,24.755,55.688,64.621,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007428,April 2024,93058,93058,93058,93058,93058,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",3.0,65.9,mid,3.0,3,4,2.5,5,2,65.9,mid,3.0,3,4,2.5,5,2
derby,Derby,England,Derby,52.924693,-1.478054,125000,532,High,73,"Median of 532 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",606,Medium,214,Official one-bedroom modelled average for Derby LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 73 sale and 214 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",71.1,58.9,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63009183,April 2024,275561,275561,dft-connectivity-bua24-v1,High,Population-weighted mean across Derby; Reviewed official BUA name corresponds directly to the broad screen location.,88,0,32,0,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",1.1443,11.52,7.386,12.057,27.182,69.105,200133.12,64.655,30.424,84.233,49.712,30.623,48.748,50.591,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63009183,April 2024,275561,275561,275561,275561,275561,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",1.0,56.5,low,1.0,3,3,4.5,3,3,63.5,mid,1.0,3,3,4.5,4,4
doncaster,Doncaster,England,Doncaster,53.522723,-1.132352,108000,281,High,25,"Median of 281 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",491,Medium,27,Official one-bedroom modelled average for Doncaster LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 25 sale and 27 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",69.2187,53.4,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63008314,April 2024,87094,87094,dft-connectivity-bua24-v1,High,Population-weighted mean across Doncaster; Reviewed official BUA name corresponds directly to the broad screen location.,92,0,88,0,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",1.1602,10.791,7.614,13.18,34.115,58.548,110515.75,64.695,28.995,51.746,21.074,31.262,33.269,13.631,1,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63008314,April 2024,87094,87094,87094,87094,87094,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",2.5,57.1,low,2.5,3,1,4.0,4,3,60.6,low,2.5,3,1,4.0,5,3
gateshead,Gateshead,England,Gateshead,54.959914,-1.604945,101000,597,High,32,"Median of 597 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",587,Medium,27,Official one-bedroom modelled average for Gateshead LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 32 sale and 27 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",77.1068,74.8,4,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63007200,April 2024,114825,114825,dft-connectivity-bua24-v1,High,Population-weighted mean across Gateshead; Reviewed official BUA name corresponds directly to the broad screen location.,192,2,198,1,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",1.0332,11.812,6.246,10.04,44.262,85.999,294016.03,65.953,52.603,18.663,89.264,57.681,54.553,61.586,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007200,April 2024,114825,114825,114825,114825,114825,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",4.5,74.7,high,4.5,4,4,1.0,5,3,71.2,high,4.5,4,4,1.0,4,3
gloucester,Gloucester,England,Gloucester,51.86455,-2.246934,145000,681,High,74,"Median of 681 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",743,Medium,65,Official one-bedroom modelled average for Gloucester LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 74 sale and 65 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",69.5581,54.4,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63011389,April 2024,118562,118562,dft-connectivity-bua24-v1,High,Population-weighted mean across Gloucester; Reviewed official BUA name corresponds directly to the broad screen location.,100,0,56,0,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",0.9619,8.668,6.587,10.521,24.503,82.689,239095.83,65.666,63.889,90.473,75.918,51.044,70.331,90.175,5,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63011389,April 2024,118562,118562,118562,118562,118562,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",2.5,65.3,mid,2.5,3,5,4.5,2,3,65.3,mid,2.5,3,5,4.5,2,3
halifax,Halifax,England,Calderdale,53.722827,-1.860176,127500,216,High,34,"Median of 216 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",546,Medium,49,Official one-bedroom modelled average for Calderdale LA; underlying observation count is not published in the table and the LA is broader than the named town.,"Rightmove's filtered snapshot returned 34 sale and 49 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",68.8676,52.4,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63007966,April 2024,89394,89394,dft-connectivity-bua24-v1,High,Population-weighted mean across Halifax; Reviewed official BUA name corresponds directly to the broad screen location.,172,0,156,2,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",0.9534,8.743,6.585,10.032,38.78,65.409,162092.24,61.502,65.111,31.894,36.726,4.975,34.676,15.653,1,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007966,April 2024,89394,89394,89394,89394,89394,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",1.5,45.3,low,1.5,3,1,2.0,3,3,48.8,low,1.5,3,1,2.0,4,3
hartlepool,Hartlepool,England,Hartlepool,54.685388,-1.212911,83014,106,High,16,"Median of 106 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",400,Medium,9,Official one-bedroom modelled average for Hartlepool LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 16 sale and 9 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",64.6455,40.6,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63007337,April 2024,88001,88001,dft-connectivity-bua24-v1,High,Population-weighted mean across Hartlepool; Reviewed official BUA name corresponds directly to the broad screen location.,188,0,209,1,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",0.8124,7.224,5.467,9.318,29.213,60.604,143714.33,65.816,85.509,77.164,28.286,54.524,61.371,76.576,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007337,April 2024,88001,88001,88001,88001,88001,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",1.0,56.5,low,1.0,3,4,1.5,5,2,52.9,low,1.0,3,4,1.5,5,1
huddersfield,Huddersfield,England,Kirklees,53.644281,-1.782201,110000,288,High,33,"Median of 288 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",582,Medium,91,Official one-bedroom modelled average for Kirklees LA; underlying observation count is not published in the table and the LA is broader than the named town.,"Rightmove's filtered snapshot returned 33 sale and 91 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",70.2064,56.3,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63008114,April 2024,140930,140930,dft-connectivity-bua24-v1,High,Population-weighted mean across Huddersfield; Reviewed official BUA name corresponds directly to the broad screen location.,160,2,142,2,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",1.0649,10.784,6.989,10.78,36.294,82.219,121814.53,63.505,43.686,41.966,56.705,14.995,39.338,26.133,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63008114,April 2024,140930,140930,140930,140930,140930,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",3.0,57.6,low,3.0,3,2,2.0,4,3,61.2,mid,3.0,3,2,2.0,4,4
hull-kingston-upon-hull,Hull (Kingston upon Hull),England,"Kingston upon Hull, City of",53.744587,-0.332576,95000,406,High,92,"Median of 406 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",498,Medium,128,"Official one-bedroom modelled average for Kingston upon Hull, City of LA; underlying observation count is not published in the table.","Rightmove's filtered snapshot returned 92 sale and 128 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",70.925,58.4,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63007930,April 2024,270816,270816,dft-connectivity-bua24-v1,High,Population-weighted mean across Kingston upon Hull; Reviewed official BUA name corresponds to the screen location Hull (Kingston upon Hull).,164,0,159,1,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",1.1035,9.941,7.435,12.444,20.798,68.489,200784.5,65.782,35.787,97.062,49.084,54.234,59.042,71.365,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007930,April 2024,270816,270816,270816,270816,270816,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",1.5,67.6,high,1.5,3,4,2.5,5,4,67.6,high,1.5,3,4,2.5,5,4
ipswich,Ipswich,England,Ipswich,52.057066,1.152832,137000,545,High,117,"Median of 545 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",743,Medium,80,Official one-bedroom modelled average for Ipswich LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 117 sale and 80 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",68.9624,52.7,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63010852,April 2024,151566,151566,dft-connectivity-bua24-v1,High,Population-weighted mean across Ipswich; Reviewed official BUA name corresponds directly to the broad screen location.,66,0,195,2,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",1.0902,9.826,7.388,12.156,36.165,63.248,218875.45,65.718,39.189,43.653,43.197,52.171,44.552,38.052,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63010852,April 2024,151566,151566,151566,151566,151566,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",3.0,60.0,low,3.0,3,2,3.0,3,4,56.5,low,3.0,3,2,3.0,2,4
kettering,Kettering,England,North Northamptonshire,52.399947,-0.728307,129475,210,High,15,"Median of 210 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",681,Medium,30,Official one-bedroom modelled average for North Northamptonshire LA; underlying observation count is not published in the table and the LA is broader than the named town.,"Rightmove's filtered snapshot returned 15 sale and 30 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",66.2086,44.8,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63010129,April 2024,63149,63149,dft-connectivity-bua24-v1,High,Population-weighted mean across Kettering; Reviewed official BUA name corresponds directly to the broad screen location.,47,0,76,1,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",1.1011,9.814,7.433,12.531,29.821,73.483,206343.65,65.453,37.04,73.936,59.293,46.497,54.192,60.931,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63010129,April 2024,63149,63149,63149,63149,63149,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",4.0,67.1,high,4.0,3,4,4.5,3,2,70.6,high,4.0,3,4,4.5,3,3
lancaster,Lancaster,England,Lancaster,54.050069,-2.803161,130000,231,High,26,"Median of 231 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",596,Medium,9,Official one-bedroom modelled average for Lancaster LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 26 sale and 9 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",71.2566,59.3,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63007656,April 2024,52646,52646,dft-connectivity-bua24-v1,High,Population-weighted mean across Lancaster; Reviewed official BUA name corresponds directly to the broad screen location.,151,0,126,0,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",0.7824,6.91,5.401,8.639,43.597,87.418,260702.78,65.111,88.244,19.573,82.369,37.344,56.883,66.831,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007656,April 2024,52646,52646,52646,52646,52646,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",5.0,70.6,high,5.0,3,4,3.0,3,3,67.1,high,5.0,3,4,3.0,4,1
leeds,Leeds,England,Leeds,53.800703,-1.550264,155000,2152,High,453,"Median of 2152 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",779,Medium,627,Official one-bedroom modelled average for Leeds LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 453 sale and 627 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",76.3068,72.9,4,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63007883,April 2024,536262,536262,dft-connectivity-bua24-v1,High,Population-weighted mean across Leeds (Leeds); Reviewed official BUA name corresponds to the screen location Leeds.,132,0,109,0,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",1.2185,13.658,7.49,11.878,36.276,71.614,241309.52,64.841,24.404,43.095,61.995,34.054,40.887,29.09,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007883,April 2024,536262,536262,536262,536262,536262,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",1.5,59.4,low,1.5,4,2,3.5,2,5,59.4,low,1.5,4,2,3.5,2,5
