Rank,Location,Screen score /100,One-bed modelled rent pcm,Affordability,Safety,Local transport,Condition,Quiet,Stock,National transport,Priority subtotal /75,Serious weaknesses,Confidence /3,Unknowns,Shortlist,Qualified via
42,Stockton-on-Tees,61.5,537,5,3,3,3,2,2.5,3,48,0,1.7142857142857142,0,Not proposed,
43,Bradford,61.5,553,5,2,4,2,2,3.5,3,45,0,2,0,Not proposed,
44,Merthyr Tydfil,61,552,5,5,3,2,3,1,2,54,0,1.8571428571428572,0,Not proposed,
45,Stockport,60.588235294117645,807,1,0,4,4,2,3.5,4,41.25,0,2,1,Not proposed,
46,Wrexham,60.5,594,3,4,3,3,3,1.5,4,48,0,2,0,Not proposed,
47,Lincoln,60.5,661,3,2,3,4,3,2.5,4,45,0,2,0,Not proposed,
48,Coventry,59.5,759,1,3,4,3,2,3.5,5,39,0,2,0,Not proposed,
49,Burnley,58.5,463,5,3,3,2,3,1.5,3,48,0,1.8571428571428572,0,Not proposed,
50,Gateshead,58.5,587,3,2,5,3,2,2.5,3,45,0,1.8571428571428572,0,Not proposed,
51,Middlesbrough,58.5,499,5,2,4,2,2,2.5,3,45,0,1.8571428571428572,0,Not proposed,
52,Blackpool,58.5,498,5,1,4,2,2,3.5,3,42,1,2,0,Not proposed,
53,Portsmouth,57.5,900,1,2,4,4,2,3.5,4,39,0,2,0,Not proposed,
54,Blackburn,57,534,5,3,3,2,3,1,3,48,0,1.8571428571428572,0,Not proposed,
55,Peterborough,56.5,703,1,2,4,3,2,3.5,5,36,0,1.8571428571428572,0,Not proposed,
56,Swindon,56.5,816,1,2,4,3,2,3.5,5,36,0,1.8571428571428572,0,Not proposed,
57,Leicester,56.5,717,1,1,4,3,2,4.5,5,33,1,1.8571428571428572,0,Not proposed,
58,Newcastle upon Tyne,55.5,810,1,1,5,4,2,3.5,3,39,1,2.142857142857143,0,Not proposed,
59,Hartlepool,55,400,5,3,3,2,3,1,2,48,0,1.8571428571428572,0,Not proposed,
60,St Helens,54.5,590,3,4,3,2,2,1.5,4,42,0,2,0,Not proposed,
61,Plymouth,53.5,703,1,1,4,4,3,3.5,2,39,1,2,0,Not proposed,
62,Northampton,53.5,748,1,1,4,3,2,3.5,5,33,1,1.8571428571428572,0,Not proposed,
63,Newport,50.5,696,1,2,4,2,2,2.5,5,33,0,2,0,Not proposed,
