location_id,population,census_date,retrieval_date,evidence_id,geography_code,geography_name,geography_vintage,method_version,confidence,reason
brighton-hove,277096,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63013666,Brighton and Hove,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Brighton and Hove; Reviewed official BUA name corresponds to the screen location Brighton & Hove.
bristol,425196,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63012168,Bristol,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Bristol; Reviewed official BUA name corresponds directly to the broad screen location.
burford,1257,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63011479,Burford,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Burford; Reviewed official BUA name corresponds directly to the broad screen location.
burnley,78266,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007907,Burnley,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Burnley; Reviewed official BUA name corresponds directly to the broad screen location.
burton-on-trent,76031,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63009360,Burton upon Trent,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Burton upon Trent; Reviewed official BUA name corresponds to the screen location Burton-on-Trent.
cambridge,152742,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63010556,Cambridge (Cambridge),April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Cambridge (Cambridge); Reviewed official BUA name corresponds to the screen location Cambridge.
cardiff,347880,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,W45001208,Cardiff,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Cardiff; Reviewed official BUA name corresponds directly to the broad screen location.
cheltenham,115941,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63011286,Cheltenham,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Cheltenham; Reviewed official BUA name corresponds directly to the broad screen location.
chepstow,11939,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,W45001132,Chepstow,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Chepstow; Reviewed official BUA name corresponds directly to the broad screen location.
chester,92756,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,K08000011,Chester,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Chester; Reviewed official BUA name corresponds directly to the broad screen location.
chesterfield,76394,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63008717,Chesterfield,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Chesterfield; Reviewed official BUA name corresponds directly to the broad screen location.
colchester,130396,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63011220,Colchester,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Colchester; Reviewed official BUA name corresponds directly to the broad screen location.
coventry,343623,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63010120,Coventry,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Coventry; Reviewed official BUA name corresponds directly to the broad screen location.
darlington,93058,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007428,Darlington,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Darlington; Reviewed official BUA name corresponds directly to the broad screen location.
derby,275561,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63009183,Derby,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Derby; Reviewed official BUA name corresponds directly to the broad screen location.
doncaster,87094,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63008314,Doncaster,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Doncaster; Reviewed official BUA name corresponds directly to the broad screen location.
durham,50502,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007282,Durham,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Durham; Reviewed official BUA name corresponds directly to the broad screen location.
exeter,126522,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63013856,Exeter,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Exeter; Reviewed official BUA name corresponds directly to the broad screen location.
gateshead,114825,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007200,Gateshead,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Gateshead; Reviewed official BUA name corresponds directly to the broad screen location.
gloucester,118562,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63011389,Gloucester,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Gloucester; Reviewed official BUA name corresponds directly to the broad screen location.
halifax,89394,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007966,Halifax,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Halifax; Reviewed official BUA name corresponds directly to the broad screen location.
hartlepool,88001,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007337,Hartlepool,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Hartlepool; Reviewed official BUA name corresponds directly to the broad screen location.
hay-on-wye,2065,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,K08000019,Hay-on-Wye,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Hay-on-Wye; Reviewed official BUA name corresponds directly to the broad screen location.
huddersfield,140930,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63008114,Huddersfield,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Huddersfield; Reviewed official BUA name corresponds directly to the broad screen location.
hull-kingston-upon-hull,270816,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007930,Kingston upon Hull,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Kingston upon Hull; Reviewed official BUA name corresponds to the screen location Hull (Kingston upon Hull).
ipswich,151566,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63010852,Ipswich,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Ipswich; Reviewed official BUA name corresponds directly to the broad screen location.
kettering,63149,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63010129,Kettering,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Kettering; Reviewed official BUA name corresponds directly to the broad screen location.
lancaster,52646,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007656,Lancaster,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Lancaster; Reviewed official BUA name corresponds directly to the broad screen location.
leeds,536262,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007883,Leeds (Leeds),April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Leeds (Leeds); Reviewed official BUA name corresponds to the screen location Leeds.
leicester,406331,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63009743,Leicester,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Leicester; Reviewed official BUA name corresponds directly to the broad screen location.
lincoln,104553,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63008729,Lincoln,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Lincoln; Reviewed official BUA name corresponds directly to the broad screen location.
liverpool,506768,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63008477,Liverpool,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Liverpool; Reviewed official BUA name corresponds directly to the broad screen location.
llanelli,42143,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,W45001070,Llanelli,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Llanelli; Reviewed official BUA name corresponds directly to the broad screen location.
loughborough,64299,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63009412,Loughborough,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Loughborough; Reviewed official BUA name corresponds directly to the broad screen location.
luton,233524,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63011256,Luton,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Luton; Reviewed official BUA name corresponds directly to the broad screen location.
manchester,470736,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63008401,Manchester,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Manchester; Reviewed official BUA name corresponds directly to the broad screen location.
merthyr-tydfil,40817,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,W45001012,Merthyr Tydfil,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Merthyr Tydfil; Reviewed official BUA name corresponds directly to the broad screen location.
middlesbrough,147862,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007408,Middlesbrough,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Middlesbrough; Reviewed official BUA name corresponds directly to the broad screen location.
milton-keynes,194584,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63010901,Milton Keynes,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Milton Keynes; Reviewed official BUA name corresponds directly to the broad screen location.
narberth,2365,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,W45000950,Narberth,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Narberth; Reviewed official BUA name corresponds directly to the broad screen location.
neath,40738,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,W45001091,Neath,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Neath; Reviewed official BUA name corresponds directly to the broad screen location.
newbridge,7582,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,W45001098,Newbridge,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Newbridge; Reviewed official BUA name and South Wales location correspond directly to the broad screen location.
newcastle-upon-tyne,285852,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007169,Newcastle upon Tyne,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Newcastle upon Tyne; Reviewed official BUA name corresponds directly to the broad screen location.
newport,130882,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,W45001174,Newport (Newport),April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Newport (Newport); Reviewed official BUA name corresponds to the screen location Newport.
northampton,243883,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63010463,Northampton,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Northampton; Reviewed official BUA name corresponds directly to the broad screen location.
norwich,200492,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63009624,Norwich,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Norwich; Reviewed official BUA name corresponds directly to the broad screen location.
nottingham,299786,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63009088,Nottingham,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Nottingham; Reviewed official BUA name corresponds directly to the broad screen location.
oxford,169612,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63011595,Oxford,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Oxford; Reviewed official BUA name corresponds directly to the broad screen location.
peterborough,190592,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63009810,Peterborough,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Peterborough; Reviewed official BUA name corresponds directly to the broad screen location.
plymouth,266970,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63014082,Plymouth,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Plymouth; Reviewed official BUA name corresponds directly to the broad screen location.
portsmouth,223324,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63013748,Portsmouth,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Portsmouth; Reviewed official BUA name corresponds directly to the broad screen location.
preston,94502,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007926,Preston (Preston),April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Preston (Preston); Reviewed official BUA name corresponds to the screen location Preston.
reading,203097,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63012182,Reading,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Reading; Reviewed official BUA name corresponds directly to the broad screen location.
rhyl,26982,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,W45000645,Rhyl,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Rhyl; Reviewed official BUA name corresponds directly to the broad screen location.
rotherham,70761,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63008458,Rotherham,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Rotherham; Reviewed official BUA name corresponds directly to the broad screen location.
rye,4888,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63013389,Rye,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Rye; Reviewed official BUA name corresponds directly to the broad screen location in East Sussex.
salford,108431,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63008377,Salford,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Salford; Reviewed official BUA name corresponds directly to the broad screen location.
sheffield,500587,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63008489,Sheffield,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Sheffield; Reviewed official BUA name corresponds directly to the broad screen location.
shrewsbury,75784,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63009578,Shrewsbury,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Shrewsbury; Reviewed official BUA name corresponds directly to the broad screen location.
southampton,249633,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63013524,Southampton,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Southampton; Reviewed official BUA name corresponds directly to the broad screen location.
southend-on-sea,182295,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63011939,Southend-on-Sea,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Southend-on-Sea; Reviewed official BUA name corresponds directly to the broad screen location.
st-helens,107409,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63008434,St Helens (St. Helens),April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to St Helens (St. Helens); Reviewed official BUA name corresponds to the screen location St Helens.
stafford,71695,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63009353,Stafford,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Stafford; Reviewed official BUA name corresponds directly to the broad screen location.
stockport,118146,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63008478,Stockport,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Stockport; Reviewed official BUA name corresponds directly to the broad screen location.
stockton-on-tees,84824,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007405,Stockton-on-Tees,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Stockton-on-Tees; Reviewed official BUA name corresponds directly to the broad screen location.
stoke-on-trent,260001,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63009014,Stoke-on-Trent,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Stoke-on-Trent; Reviewed official BUA name corresponds directly to the broad screen location.
sunderland,167989,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007220,Sunderland,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Sunderland; Reviewed official BUA name corresponds directly to the broad screen location.
swansea,169795,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,W45001113,Swansea,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Swansea; Reviewed official BUA name corresponds directly to the broad screen location.
swindon,183687,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63011979,Swindon (Swindon),April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Swindon (Swindon); Reviewed official BUA name corresponds to the screen location Swindon.
telford,156326,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63009565,Telford,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Telford; Reviewed official BUA name corresponds directly to the broad screen location.
tenby,4092,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,W45001069,Tenby,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Tenby; Reviewed official BUA name corresponds directly to the broad screen location.
torbay,137645,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63014039;E63014055;E63014084,Torquay + Paignton + Brixham,April 2024,census2021-ts001-bua24-v1,High,"Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Torquay, Paignton, Brixham; Reviewed composite represents Torbay using the Torquay, Paignton and Brixham BUAs."
wakefield,97656,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63008062,Wakefield,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Wakefield; Reviewed official BUA name corresponds directly to the broad screen location.
walsall,70777,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63009845,Walsall,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Walsall; Reviewed official BUA name corresponds directly to the broad screen location.
warrington,174064,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63008488,Warrington,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Warrington; Reviewed official BUA name corresponds directly to the broad screen location.
wigan,81514,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63008282,Wigan,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Wigan; Reviewed official BUA name corresponds directly to the broad screen location.
wolverhampton,233643,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63009805,Wolverhampton,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Wolverhampton; Reviewed official BUA name corresponds directly to the broad screen location.
worcester,105439,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63010595,Worcester,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Worcester; Reviewed official BUA name corresponds directly to the broad screen location.
wrexham,44277,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,W45000777,Wrexham,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Wrexham; Reviewed official BUA name corresponds directly to the broad screen location.
york,141286,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007706,York,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to York; Reviewed official BUA name corresponds directly to the broad screen location.
