location_id,gigabit_availability_pct,residential_premises,matched_residential_premises,gigabit_available_premises,oa_rows_covered,oa_rows_expected,source_period,retrieval_date,evidence_id,geography_code,geography_vintage,method_version,confidence,reason
hull-kingston-upon-hull,99.7516,125187,124886,124876,894,894,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63007930,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Kingston upon Hull; Reviewed official BUA name corresponds to the screen location Hull (Kingston upon Hull). Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
ipswich,96.4610,67421,67402,65035,487,487,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63010852,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Ipswich; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
kettering,97.1681,28815,28752,27999,192,192,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63010129,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Kettering; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
lancaster,90.4000,23448,23421,21197,173,173,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63007656,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Lancaster; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
leeds,96.5832,241423,240937,233174,1703,1704,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63007883,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Leeds (Leeds); Reviewed official BUA name corresponds to the screen location Leeds. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
leicester,97.6872,152067,152016,148550,1127,1127,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63009743,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Leicester; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
lincoln,91.4115,48076,46495,43947,323,323,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63008729,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Lincoln; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
liverpool,91.4342,229201,228179,209568,1691,1691,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63008477,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Liverpool; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
llanelli,96.0951,19898,19886,19121,145,145,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,W45001070,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Llanelli; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
loughborough,98.3772,24711,24697,24310,190,190,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63009412,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Loughborough; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
luton,98.1067,87517,87419,85860,644,644,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63011256,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Luton; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
manchester,87.9447,207153,202345,182180,1336,1340,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63008401,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Manchester; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
merthyr-tydfil,87.8044,18892,18883,16588,134,134,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,W45001012,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Merthyr Tydfil; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
middlesbrough,97.7562,68231,68204,66700,478,478,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63007408,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Middlesbrough; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
milton-keynes,96.8345,83811,83763,81158,591,591,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63010901,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Milton Keynes; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
narberth,53.0391,1201,1200,637,7,7,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,W45000950,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Narberth; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
neath,96.4480,19510,19509,18817,145,145,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,W45001091,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Neath; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
newbridge,89.7763,3531,3514,3170,25,25,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,W45001098,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Newbridge; Reviewed official BUA name and South Wales location correspond directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
newcastle-upon-tyne,93.7901,127200,127013,119301,897,897,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63007169,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Newcastle upon Tyne; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
newport,95.2004,57963,57937,55181,421,421,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,W45001174,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Newport (Newport); Reviewed official BUA name corresponds to the screen location Newport. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
northampton,96.0067,103699,102444,99558,733,734,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63010463,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Northampton; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
norwich,93.7567,80871,80800,75822,671,671,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63009624,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Norwich; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
nottingham,95.7600,125331,125289,120017,925,926,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63009088,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Nottingham; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
oxford,78.4246,67169,65423,52677,467,467,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63011595,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Oxford; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
peterborough,96.4268,79620,79557,76775,577,579,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63009810,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Peterborough; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
plymouth,94.1306,123284,122307,116048,873,873,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63014082,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Plymouth; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
portsmouth,96.6505,97806,97767,94530,708,708,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63013748,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Portsmouth; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
preston,90.1971,42171,41902,38037,287,287,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63007926,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Preston (Preston); Reviewed official BUA name corresponds to the screen location Preston. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
reading,96.4918,84772,84740,81798,602,602,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63012182,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Reading; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
rhyl,84.4140,13711,13692,11574,88,88,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,W45000645,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Rhyl; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
rotherham,98.8979,31305,31294,30960,228,228,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63008458,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Rotherham; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
rye,87.2411,2704,2702,2359,19,19,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63013389,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Rye; Reviewed official BUA name corresponds directly to the broad screen location in East Sussex. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
salford,85.0078,56903,56896,48372,342,342,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63008377,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Salford; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
sheffield,93.7930,225277,225186,211294,1635,1635,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63008489,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Sheffield; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
shrewsbury,93.2682,35904,35895,33487,248,248,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63009578,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Shrewsbury; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
southampton,95.2352,109554,109244,104334,794,794,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63013524,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Southampton; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
southend-on-sea,97.9218,83295,83213,81564,592,592,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63011939,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Southend-on-Sea; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
st-helens,97.5422,50573,50561,49330,362,362,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63008434,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across St Helens (St. Helens); Reviewed official BUA name corresponds to the screen location St Helens. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
stafford,95.2086,34103,33665,32469,235,235,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63009353,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Stafford; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
stockport,95.5029,54502,54479,52051,396,396,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63008478,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Stockport; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
stockton-on-tees,97.2072,39494,39487,38391,288,288,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63007405,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Stockton-on-Tees; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
stoke-on-trent,96.7582,117588,117375,113776,868,868,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63009014,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Stoke-on-Trent; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
sunderland,94.0612,82508,82412,77608,605,605,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63007220,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Sunderland; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
swansea,96.4795,80130,80119,77309,573,574,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,W45001113,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Swansea; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
swindon,98.2624,77405,77401,76060,597,597,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63011979,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Swindon (Swindon); Reviewed official BUA name corresponds to the screen location Swindon. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
telford,87.3897,69253,69204,60520,493,494,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63009565,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Telford; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
tenby,50.0988,2531,2529,1268,19,19,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,W45001069,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Tenby; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.
