location_id,location_name,origin_crs,origin_station_name,destination_id,destination_name,destination_planner_id,measurement_date,window_start_local,window_end_local,search_times_local,status,reason
barnsley,Barnsley,BNY,Barnsley,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,pending,Use visible Journey Planner controls; transcribe only displayed values after capture review.
barnsley,Barnsley,BNY,Barnsley,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,pending,Use visible Journey Planner controls; transcribe only displayed values after capture review.
darlington,Darlington,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
derby,Derby,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
derby,Derby,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
doncaster,Doncaster,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
doncaster,Doncaster,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
gateshead,Gateshead,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
gateshead,Gateshead,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
gloucester,Gloucester,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
gloucester,Gloucester,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
halifax,Halifax,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
halifax,Halifax,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
hartlepool,Hartlepool,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
hartlepool,Hartlepool,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
huddersfield,Huddersfield,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
huddersfield,Huddersfield,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
hull-kingston-upon-hull,Hull (Kingston upon Hull),,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
hull-kingston-upon-hull,Hull (Kingston upon Hull),,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
ipswich,Ipswich,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
ipswich,Ipswich,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
kettering,Kettering,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
kettering,Kettering,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
lancaster,Lancaster,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
lancaster,Lancaster,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
leeds,Leeds,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
leeds,Leeds,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
leicester,Leicester,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
leicester,Leicester,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
lincoln,Lincoln,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
lincoln,Lincoln,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
liverpool,Liverpool,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
liverpool,Liverpool,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
loughborough,Loughborough,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
loughborough,Loughborough,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
manchester,Manchester,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
manchester,Manchester,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
merthyr-tydfil,Merthyr Tydfil,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
merthyr-tydfil,Merthyr Tydfil,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
middlesbrough,Middlesbrough,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
middlesbrough,Middlesbrough,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
neath,Neath,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
neath,Neath,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
newcastle-upon-tyne,Newcastle upon Tyne,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
newcastle-upon-tyne,Newcastle upon Tyne,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
newport,Newport,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
newport,Newport,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
northampton,Northampton,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
northampton,Northampton,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
norwich,Norwich,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
norwich,Norwich,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
nottingham,Nottingham,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
nottingham,Nottingham,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
peterborough,Peterborough,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
peterborough,Peterborough,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
plymouth,Plymouth,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
plymouth,Plymouth,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
portsmouth,Portsmouth,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
portsmouth,Portsmouth,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
preston,Preston,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
preston,Preston,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
rotherham,Rotherham,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
rotherham,Rotherham,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
salford,Salford,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
salford,Salford,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
sheffield,Sheffield,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
sheffield,Sheffield,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
shrewsbury,Shrewsbury,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
shrewsbury,Shrewsbury,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
st-helens,St Helens,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
st-helens,St Helens,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
stafford,Stafford,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
stafford,Stafford,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
stockport,Stockport,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
stockport,Stockport,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
stockton-on-tees,Stockton-on-Tees,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
stockton-on-tees,Stockton-on-Tees,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
stoke-on-trent,Stoke-on-Trent,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
stoke-on-trent,Stoke-on-Trent,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
sunderland,Sunderland,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
sunderland,Sunderland,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
swansea,Swansea,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
swansea,Swansea,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
swindon,Swindon,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
swindon,Swindon,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
telford,Telford,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
telford,Telford,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
torbay,Torbay,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
torbay,Torbay,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
wakefield,Wakefield,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
wakefield,Wakefield,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
walsall,Walsall,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
walsall,Walsall,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
warrington,Warrington,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
warrington,Warrington,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
wigan,Wigan,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
wigan,Wigan,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
wolverhampton,Wolverhampton,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
